,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,days_act,num_events,num_ses,Gano
170,1.25,0.75,2.0,2.33333333333333,2.0,2.0,3,2,0,4,0,0,1,0,3,2,1,1,5,27,0,0,1,8,1,10,0
171,2.0,3.25,1.0,2.33333333333333,1.66666666666667,3.25,4,2,0,0,0,0,4,0,0,0,1,1,3,17,0,1,0,1,10,1,0
172,2.25,2.75,3.0,2.5,2.33333333333333,1.25,0,2,0,0,0,5,6,0,0,0,1,1,5,29,0,0,1,4,5,6,0
173,2.25,3.0,2.33333333333333,2.5,2.66666666666667,1.0,0,2,0,0,0,0,3,0,5,3,1,0,2,27,0,1,0,2,5,2,0
174,3.0,2.0,1.0,2.5,3.66666666666667,1.25,2,2,0,6,0,0,5,0,0,0,1,1,3,25,0,1,0,8,8,19,0
175,2.75,1.75,1.66666666666667,2.66666666666667,2.66666666666667,1.25,0,2,5,0,3,0,5,1,1,0,1,1,4,22,0,1,0,4,5,8,0
176,2.0,2.5,2.33333333333333,2.66666666666667,2.66666666666667,1.5,0,2,0,0,0,0,5,1,0,0,0,1,5,34,0,0,1,3,5,4,0
177,3.0,2.25,2.33333333333333,2.83333333333333,2.0,0.75,4,2,5,7,0,0,4,1,1,1,1,1,3,48,0,0,1,11,8,20,0
178,2.25,2.0,1.0,1.16666666666667,1.33333333333333,2.5,0,3,5,0,0,0,4,1,0,0,1,1,3,19,0,1,0,9,3,14,0
179,1.5,1.5,1.66666666666667,1.33333333333333,1.0,0.25,4,3,3,0,0,0,10,1,0,0,0,0,4,26,0,0,0,4,15,9,0
180,3.5,2.25,3.0,1.66666666666667,1.66666666666667,2.0,0,3,0,0,0,0,6,0,0,0,1,1,5,29,0,0,1,8,2,19,0
181,3.0,2.75,2.33333333333333,1.83333333333333,2.66666666666667,1.75,0,3,0,3,0,0,4,1,5,5,1,1,5,20,0,1,0,2,1,4,0
182,2.5,2.75,3.33333333333333,1.83333333333333,2.33333333333333,1.75,0,3,4,0,0,0,5,0,0,0,1,1,5,19,1,1,0,2,15,3,0
