;userId;GoalSetting;StrategicPlanning;SelfEvaluation;TaskStrategies;Elaboration;HelpSeeking;SRL;only lecture;Atry to lecture;explore;only asessment;Lcomplete to Atry;lecture to Acomplete;hrs;prior_exp;crs_str;crs_fin;int_topic;int_assess;edu;age;isfemale;emp_student;emp_job;completer;days_act;num_events;num_ses;grade;cluster;Gano;Ocupation
283;9c038adac8b9e054cef4689d38be7939c1f1c6c1;3;3;3,666666667;3,166666667;4;2,5;3,222222222;18;90;11;4;4;0;3;1;3;1;1;1;4;31;0;0;1;False;16;267;24;62,88571358;1;SI;Employee
284;a4d7113a15b51e6b746006c644cc2406cc0b1341;3,5;3;3,333333333;3,166666667;4;1,75;3,125;20;90;15;9;0;0;12;1;6;6;1;1;3;25;0;1;0;True;13;262;28;98,79999757;2;SI;Student
285;bb998169fcb1eb9860b03416f35b8de730a7ab93;3,25;3,5;3,333333333;3,166666667;4;1,5;3,125;27;90;14;10;0;0;7;1;0;0;1;1;3;22;1;1;0;True;17;293;43;92,74285436;2;SI;Student
286;7c8b1ed4f74bc4664598b6bb4a3e31ea2a8bcacc;4;3,5;3,333333333;3,333333333;3;2,5;3,277777778;7;90;31;6;5;0;8;1;1;1;1;1;6;30;0;0;1;False;18;306;29;70,68571448;1;SI;Employee
287;00345d36a93afc11f906eb1ca8878885fab1dbd7;2,75;3,25;2,666666667;3,333333333;4;1,75;2,958333333;13;90;6;3;0;0;7;1;1;1;1;1;5;22;0;1;0;False;8;227;25;72,74285555;1;SI;Student
288;a9192f9f84ead2f153e2d2be9ef7370f6bcb1765;4;4;4;3,333333333;3,666666667;1,75;3,458333333;15;90;20;0;0;0;6;0;8;5;1;0;4;22;0;1;0;False;9;197;20;68,94285679;1;SI;Student
289;e73de19a5810b988761f918d1ef96a91bc0841cf;3;3,5;3,333333333;3,333333333;3,666666667;2;3,138888889;21;90;14;12;0;0;5;1;2;0;1;1;5;42;0;0;0;True;22;263;73;97,6000011;2;SI;None
290;b51c755e6358cfa9bf247bf9481bc814872435d4;3,75;4;3,666666667;3,333333333;4;3,75;3,75;30;90;21;13;35;6;3;1;0;0;1;1;3;56;0;0;0;False;20;518;46;91,28571153;2;SI;None
291;b2cc57e611eae9881a681588f07cd67f996e3f36;4;3;4;3,333333333;3;2,5;3,305555556;60;90;9;12;38;5;6;0;1;1;1;1;5;32;0;0;0;False;35;588;50;84,58571434;1;SI;None
292;42458d3cc3dbcf74c3ea0ef38755962dee7e3d80;4;3,75;4;3,5;3,333333333;2;3,430555556;3;90;49;0;0;0;5;0;1;1;1;1;5;45;0;0;0;False;12;397;12;90,40952325;2;SI;None
293;6d2a472a9663ee0d6065a048732a7c4651da6c84;4;4;4;3,5;4;2,75;3,708333333;11;90;34;10;0;0;4;0;3;3;1;1;5;30;0;0;1;True;11;253;20;96,7428565;2;SI;Employee
294;d3e137613399b3a24cb0d14bfcdc42aac1aa81c6;3,5;3,5;4;3,5;4;2,75;3,541666667;20;90;0;6;0;0;15;0;1;1;1;1;3;21;0;0;1;False;15;481;50;96,28571272;2;SI;Employee
295;2ce6ab3ec5f0261e8a42518e277483ffd83c79fb;1,75;2,75;3;3,666666667;4;3;3,027777778;8;90;0;0;0;0;6;1;7;5;1;1;6;37;0;0;0;True;7;261;10;100;2;SI;None
296;29e7be947a394d72da851a21ae38d470be6fdd7c;2,75;3;3;3,666666667;3,666666667;0,5;2,763888889;18;90;13;11;0;0;4;1;8;8;1;1;4;45;0;0;1;True;19;295;34;98,28571677;2;SI;Employee
297;254d53b1c96ece3af1ddea3a8e67779dabe0917b;4;4;3;3,666666667;4;0,25;3,152777778;28;90;12;6;0;0;10;0;0;0;1;1;5;68;0;0;1;True;20;369;36;93,68571639;2;SI;Employee
298;cfb3a36c3ba565e663f0257260cf22752e7a6f17;3,75;3,25;4;3,833333333;4;0,75;3,263888889;18;90;40;6;0;0;6;1;1;1;1;1;5;32;0;0;1;True;12;291;32;96,88571692;2;SI;Employee
299;370dfaf83533064f84e8a3a3468190bf73e91bf6;3,25;4;4;4;4;2,25;3,583333333;4;90;16;0;0;8;12;1;0;0;1;1;4;25;0;0;1;False;13;254;21;70,68571448;1;SI;Employee
300;bbc33ac876a6c3b45248c92889d1d1ee9953406f;4;4;4;4;4;3;3,833333333;5;90;0;20;0;0;7;0;1;1;1;1;4;50;0;0;1;True;7;195;12;97,74285555;2;SI;Employee
301;a07ca404069361f25a9a864fb0d217f9e653e7e6;4;4;4;4;4;3,5;3,916666667;11;90;0;7;0;0;5;0;4;3;1;1;3;43;0;0;1;True;10;370;20;92,20952392;2;SI;Employee
302;735fcf7bdcad251bc643eea007327a77ed17ff2e;2,25;3,5;4;4;4;1,25;3,166666667;12;90;25;0;6;11;15;1;20;15;1;1;4;29;0;0;0;True;13;303;24;91,00952148;2;SI;None
303;0c2d7042dda32ecbd489fd0d622c2bb12ee93768;4;4;4;4;4;4;4;13;90;5;0;0;8;4;1;10;8;1;1;5;57;0;0;1;True;10;367;18;95,26666403;2;SI;Employee
304;e1c3a8eb493e46366e7d871f9755ef075da060ef;4;3;3,666666667;4;3,666666667;3,75;3,680555556;16;90;14;0;0;25;3;0;2;1;1;1;5;50;0;0;1;False;10;334;16;62,80952096;1;SI;Employee
305;449f75fa0eaa347782cf052eb04e912473e290e4;4;4;4;4;4;3;3,833333333;20;90;9;3;0;0;12;1;8;8;1;1;6;59;0;0;1;True;7;269;22;91,35237932;2;SI;Employee
306;c308f7c5a26446218067727e1d2af05322aa9dcc;4;4;4;4;4;3,5;3,916666667;24;90;20;6;7;0;6;0;3;3;1;1;3;30;0;0;1;True;13;304;35;92,15238094;2;SI;Employee
307;bf4e5d3a7b015e4f7938094ece22f485abdfc213;2,75;2,75;3,333333333;2,666666667;3;2,25;2,791666667;29;99;4;18;0;5;7;0;1;0;1;1;2;28;0;0;1;True;29;377;76;98,60000014;2;SI;Employee
308;ae9eafd91bbf185f9adf56bca17bfcd457f7673a;3,5;3,25;3,666666667;3,833333333;4;2,75;3,5;30;99;25;9;13;0;5;1;0;0;1;1;5;28;0;0;1;True;24;276;45;100;2;SI;Employee
309;b7a557d9b447d098da34b8b64c24055b96994fb3;4;4;4;4;4;2,25;3,708333333;32;99;8;16;0;6;6;1;30;30;1;1;4;49;0;0;1;True;14;387;38;100;2;SI;Employee
310;07e54fc0e2dd9bcdf2179cb52920e85ae18a674b;3;4;4;3,333333333;4;2,5;3,472222222;54;101;5;6;5;0;4;0;0;0;1;1;4;50;0;0;1;False;23;667;54;89,94285464;1;SI;Employee
311;e54235135c9e5c7ec5dc38b3c59c6a61eb232e65;2;2;2,333333333;2,666666667;3,333333333;1,75;2,347222222;6;109;0;17;0;0;10;1;0;0;1;1;4;29;0;0;1;True;17;283;28;100;2;SI;Employee
312;f82238de83a15fc677afe3a74bd1e0f5d4950ad2;0,75;3,25;3,666666667;3,333333333;3,333333333;1,75;2,680555556;20;109;21;4;0;0;5;0;5;5;1;1;3;41;0;0;1;True;18;279;39;100;2;SI;Employee
313;be1deee465c73c2fb08df1b063a472445d37858b;4;3,5;4;4;4;3,5;3,833333333;7;109;34;6;13;0;1;1;0;0;1;1;3;26;0;0;0;True;16;305;34;100;2;SI;None
314;d54f05bcbe9788f4cc1b3ba5e8cfc60167dce973;2;3;2,333333333;2;2,666666667;2;2,333333333;9;110;11;6;0;0;4;1;3;3;1;1;5;21;0;1;0;False;10;197;21;72,64285684;1;SI;Student
315;d1d2bd2f11a84655b67d517333f657ffad39bbc9;3;2,25;2,666666667;2;3,333333333;1,75;2,5;34;110;34;16;0;0;10;1;0;0;1;1;3;33;0;0;1;True;21;545;59;92,40952134;2;SI;Employee
316;f1305198577eaa75c98b8e96131f3a55b6e1f113;2,25;1,75;3;2,333333333;2,333333333;2,25;2,319444444;12;110;43;0;0;0;10;0;3;2;1;1;5;40;0;0;0;False;13;209;16;64,74285722;1;SI;None
317;284c2c6a08a259c0e11d61aaa1647d13eec5241b;2,75;2;2,666666667;2,333333333;2,333333333;2,5;2,430555556;31;110;5;3;0;8;7;1;0;0;1;1;3;28;0;0;1;False;10;310;26;71,54285908;1;SI;Employee
318;59e2c35be2c4ae49540ee89a4501cf25d9563f76;2,75;2,75;3;2,833333333;3;3;2,888888889;3;110;28;3;0;0;6;0;1;0;1;1;5;36;0;0;0;True;13;304;17;92,74285436;2;SI;None
319;67924e5c359e2e4fc1f9838d4773a63e8e5be3a3;3,5;3;2,666666667;2,833333333;3;3,25;3,041666667;14;110;0;16;0;0;4;0;3;3;1;1;5;38;1;0;1;True;7;358;13;92,15238094;2;SI;Employee
320;d30159ae31d250a1c817915a5043cf0d3b5f8753;2,75;3;2,666666667;2,833333333;3;3;2,875;18;110;16;9;0;0;4;1;0;0;1;1;2;24;1;1;0;False;15;202;32;72,39999771;1;SI;Student
321;29083c5a0831032d8301c861734be25fa919a0c4;3;3,5;3;3;3,333333333;2,5;3,055555556;16;110;26;3;0;0;4;0;3;3;1;1;6;36;0;0;1;True;15;381;28;93,14285517;2;SI;Employee
322;73651223af8c4b3ed899b1104f44613766a62030;2,75;3;3,666666667;3,166666667;3,666666667;3;3,208333333;16;110;28;7;0;0;4;0;4;4;1;1;5;43;0;0;1;False;18;184;32;60,28571725;1;SI;Employee
